gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_ratio,seed_flow_kzt,seed_share,n_seed_upstream,p_terminal,betweenness,fast_pass_share,max_sync_payers,near_threshold_share,n_cycles,flags,score_breakdown
100000000343175100,coordinator,0.8984063745020054,10,0.6623130528770942,Кандидат в координирующий узел: 8 плательщиков → 31 получателей; сигналы S2,0,True,8,31,178712.0,4000039.0,14,33,,74168.06365671361,1.0,3,0.0,0.0010911947105886903,0.15723622364474685,2,0.0851063829787234,0,near_threshold;bridge;distributor;S2,"{""betweenness"": 0.148, ""degree"": 0.099, ""n_seed_upstream"": 0.198, ""role"": 0.198, ""seed_flow_kzt"": 0.227, ""temporal"": 0.055}"
100000000456947100,peripheral,1.0,0,0.12461302158887275,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0.0,1.0,0,1.0,0.0,0.0,0,0.0,0,,"{""betweenness"": 0.055, ""degree"": 0.0, ""n_seed_upstream"": 0.058, ""role"": 0.026, ""seed_flow_kzt"": 0.002, ""temporal"": 0.032}"
100000000580561100,peripheral,0.5,34,0.39071536251671063,"Периферийный узел: 2 входящих, 3 исходящих, оборот 1.52 млн",0,True,2,3,27980.0,1488077.0,3,13,,18188.876905041034,1.0,0,0.0,1.1888811083225246e-06,0.636168691922802,1,0.1875,2,fast_pass;near_threshold;cycles,"{""betweenness"": 0.115, ""degree"": 0.09, ""n_seed_upstream"": 0.058, ""role"": 0.026, ""seed_flow_kzt"": 0.188, ""temporal"": 0.07}"
100000001415126100,terminal,0.5,12,0.3367892596069061,"Вероятный конечный получатель: 1 плательщиков, получено 27 тыс., исходящих нет",0,True,1,0,27000.0,0.0,1,0,,4329.031393003198,1.0,0,1.0,0.0,0.0,1,0.0,0,,"{""betweenness"": 0.055, ""degree"": 0.032, ""n_seed_upstream"": 0.058, ""role"": 0.139, ""seed_flow_kzt"": 0.154, ""temporal"": 0.032}"
100000001429930100,terminal,0.5,20,0.2892425406035782,"Вероятный конечный получатель: 1 плательщиков, получено 26 тыс., исходящих нет",0,True,1,0,26000.0,0.0,1,0,,207.77334668922398,1.0,0,1.0,0.0,0.0,1,0.0,0,,"{""betweenness"": 0.055, ""degree"": 0.032, ""n_seed_upstream"": 0.058, ""role"": 0.139, ""seed_flow_kzt"": 0.088, ""temporal"": 0.032}"
100000001616816100,peripheral,0.5,6,0.5331603948004664,"Периферийный узел: 5 входящих, 3 исходящих, оборот 358 тыс.",0,True,5,3,176195.0,181326.0,12,10,,57745.809436545795,1.0,2,0.0,0.00010581041864070468,0.5678765004682312,1,0.22727272727272727,2,fast_pass;near_threshold;cycles,"{""betweenness"": 0.141, ""degree"": 0.095, ""n_seed_upstream"": 0.191, ""role"": 0.026, ""seed_flow_kzt"": 0.222, ""temporal"": 0.07}"
100000001732159100,peripheral,0.5,4,0.533299769604915,"Периферийный узел: 2 входящих, 4 исходящих, оборот 3.88 млн",0,True,2,4,2378100.0,1505966.0,30,23,,2378100.0,1.0,2,0.0,2.0607272544257092e-05,0.3356040536562802,2,0.0,4,cycles,"{""betweenness"": 0.128, ""degree"": 0.092, ""n_seed_upstream"": 0.191, ""role"": 0.026, ""seed_flow_kzt"": 0.25, ""temporal"": 0.058}"
100000002527114100,distributor,1.0,3,0.5472452143243166,"Веерная рассылка: 111 получателей, отдано 3.29 млн",0,True,3,111,129000.0,3289249.0,4,113,,40546.65093273082,1.0,0,0.0,0.00019339132695379732,0.9302325581395349,1,0.0,3,fast_pass;cycles,"{""betweenness"": 0.144, ""degree"": 0.1, ""n_seed_upstream"": 0.058, ""role"": 0.192, ""seed_flow_kzt"": 0.212, ""temporal"": 0.059}"
100000002916006100,peripheral,0.5,12,0.14702449014421023,"Периферийный узел: 0 входящих, 1 исходящих, оборот 32 тыс.",0,True,0,1,0.0,32000.0,0,1,,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0,,"{""betweenness"": 0.055, ""degree"": 0.032, ""n_seed_upstream"": 0.058, ""role"": 0.026, ""seed_flow_kzt"": 0.002, ""temporal"": 0.032}"
100000003016635100,coordinator,1.0,2,0.5969462695906932,Кандидат в координирующий узел: 8 плательщиков → 73 получателей; сигналы S2,0,True,8,73,586981.0,9414081.0,36,151,,106066.21256168254,1.0,0,0.0,0.007268819096283914,0.8676277426356219,3,0.10695187165775401,13,fast_pass;sync_in;near_threshold;cycles;bridge;distributor;S2,"{""betweenness"": 0.15, ""degree"": 0.1, ""n_seed_upstream"": 0.058, ""role"": 0.198, ""seed_flow_kzt"": 0.233, ""temporal"": 0.096}"
